GC100m;Year;Total population in cell
3613650N4458550E;2011;1-5
3613650N4469250E;2011;5-10
3613650N4469550E;2011;23
3613650N4469650E;2011;28
3613650N4469750E;2011;21
3613650N4469850E;2011;21
3613650N4469950E;2011;34
3613650N4470050E;2011;10-15
3613650N4470150E;2011;1-5
3613650N4483450E;2011;15-20
3613650N4483550E;2011;34
3613650N4483650E;2011;21
3613650N4483750E;2011;5-10
3613650N4483850E;2011;46
3613650N4483950E;2011;29
3613650N4484050E;2011;34
3613650N4484150E;2011;38
3613650N4484250E;2011;15-20
3613650N4485150E;2011;5-10
3613650N4487050E;2011;1-5
3613650N4487150E;2011;10-15
3613650N4487250E;2011;24
3613650N4488450E;2011;35
3613650N4488550E;2011;28
3613650N4488650E;2011;10-15
3613650N4488750E;2011;15-20
3613650N4488850E;2011;22
3613650N4488950E;2011;36
3613650N4489050E;2011;15-20
3613650N4489250E;2011;10-15
3613650N4489350E;2011;20
3613650N4489450E;2011;10-15
3613750N4459750E;2011;1-5
3613750N4460350E;2011;1-5
3613750N4468850E;2011;55
3613750N4468950E;2011;84
3613750N4469350E;2011;1-5
3613750N4469550E;2011;10-15
3613750N4469650E;2011;24
3613750N4469750E;2011;30
3613750N4469850E;2011;24
3613750N4469950E;2011;31
3613750N4470050E;2011;15-20
3613750N4470150E;2011;35
3613750N4470250E;2011;1-5
3613750N4483450E;2011;23
3613750N4483550E;2011;15-20
3613750N4483650E;2011;55
3613750N4483750E;2011;5-10
3613750N4483850E;2011;27
3613750N4483950E;2011;15-20
3613750N4484050E;2011;24
3613750N4484150E;2011;24
3613750N4484250E;2011;26
3613750N4484750E;2011;1-5
3613750N4487150E;2011;10-15
3613750N4487250E;2011;20
3613750N4487350E;2011;1-5
3613750N4487450E;2011;1-5
3613750N4487950E;2011;1-5
3613750N4488450E;2011;31
3613750N4488550E;2011;20
3613750N4488650E;2011;27
3613750N4488750E;2011;60
3613750N4488850E;2011;26
3613750N4488950E;2011;21
3613750N4489050E;2011;1-5
3613750N4489250E;2011;15-20
3613750N4489350E;2011;26
3613750N4489450E;2011;15-20
3613850N4468650E;2011;31
3613850N4468950E;2011;173
3613850N4469050E;2011;93
3613850N4469650E;2011;15-20
3613850N4469750E;2011;15-20
3613850N4469850E;2011;27
3613850N4469950E;2011;15-20
3613850N4470050E;2011;31
3613850N4470150E;2011;29
3613850N4470250E;2011;28
3613850N4470350E;2011;5-10
3613850N4483450E;2011;15-20
3613850N4483550E;2011;24
3613850N4483650E;2011;15-20
3613850N4483750E;2011;28
3613850N4483850E;2011;10-15
3613850N4483950E;2011;26
3613850N4484050E;2011;1-5
3613850N4484250E;2011;1-5
3613850N4485150E;2011;5-10
3613850N4485250E;2011;1-5
3613850N4487250E;2011;5-10
3613850N4487350E;2011;5-10
3613850N4487450E;2011;5-10
3613850N4487550E;2011;5-10
3613850N4487950E;2011;1-5
3613850N4488450E;2011;1-5
3613850N4488550E;2011;5-10
3613850N4488650E;2011;10-15
3613850N4488750E;2011;15-20
3613850N4488850E;2011;20
3613850N4488950E;2011;33
